Volume IB,Actual AHT,Actual % SHR,Actual ABN calls,Actual ABN rate,Attrition ACT,Attrition % ACT,Calls per Hour,Workload,Productive Hrs
"36,812",217,24.70%,94,0.30%,0,0.00%,8.8,"2,215","4,166"
"34,375",218,22.20%,125,0.40%,1,0.80%,8.1,"2,082","4,220"
"27,658",206,49.30%,150,0.50%,3,2.50%,9.2,"1,582","2,976"
"50,835",210,49.60%,1307,2.60%,4,3.50%,18.9,"2,965","2,620"
"58,808",219,19.40%,169,0.30%,0,0.00%,14.3,"3,575","4,106"
"57,455",218,17.90%,117,0.20%,3,2.70%,13.7,"3,473","4,186"
"55,589",213,20.20%,153,0.30%,1,0.90%,13.6,"3,289","4,072"
"59,939",216,19.50%,150,0.30%,0,0.00%,14.8,"3,595","4,051"
"62,038",217,23.00%,647,1.00%,0,0.00%,15.2,"3,733","4,028"
"55,165",207,27.50%,178,0.30%,0,0.00%,13.7,"3,175","4,022"
"57,057",206,24.70%,128,0.20%,1,1.00%,13.6,"3,273","4,175"
"89,102",240,21.20%,1617,1.80%,2,2.00%,19.8,"5,929","4,414"
"75,994",231,19.30%,1012,1.30%,3,3.00%,16.8,"4,883","4,452"
"70,498",220,21.70%,291,0.40%,1,0.90%,16.7,"4,300","4,214"
"57,405",195,38.50%,232,0.40%,11,9.30%,17.1,"3,108","3,336"
"57,433",193,27.30%,234,0.40%,2,2.20%,15.2,"3,079","3,759"
"62,994",184,22.90%,164,0.30%,1,1.10%,18.3,"3,220","3,439"
"65,438",171,35.20%,248,0.40%,3,3.50%,21.6,"3,111","3,012"
"78,718",196,50.70%,5025,6.40%,2,2.60%,47.2,"4,286","1,562"
"75,000",403,101.30%,2234,32.00%,0,0.00%,38,780,125
"75,000",280,80.70%,1823,10.80%,1,1.40%,19.7,"1,316",765
"87,095",234,72.10%,7384,8.50%,0,0.00%,70.5,"5,654","1,130"
"88,404",203,33.50%,2090,2.40%,0,0.00%,28.2,"4,985","3,062"
"85,301",193,25.70%,924,1.10%,0,0.00%,24.6,"4,573","3,427"
"75,060",194,22.70%,849,1.10%,0,0.00%,20.5,"4,045","3,624"
"86,089",196,22.20%,1346,1.60%,0,0.00%,22.3,"4,687","3,804"
"81,143",194,31.60%,696,0.90%,3,2.70%,24.4,"4,373","3,296"
"80,240",191,18.70%,717,0.90%,1,0.90%,20.1,"4,257","3,947"
"86,325",188,21.60%,591,0.70%,2,1.90%,22.2,"4,508","3,865"
"74,430",190,22.20%,397,0.50%,2,1.80%,19.5,"3,928","3,804"
"73,938",191,19.60%,438,0.60%,2,1.80%,18.8,"3,923","3,904"
"73,033",192,18.40%,165,0.20%,1,0.90%,18.3,"3,902","3,992"
"85,211",195,17.20%,269,0.30%,0,0.00%,21.5,"4,616","3,950"
"94,812",192,20.70%,760,0.80%,1,0.90%,24.8,"5,057","3,785"
"101,066",157,21.60%,3974,3.90%,11,6.50%,16.5,"4,398","5,880"
"97,458",130,21.20%,3974,4.10%,3,1.90%,15.8,"3,528","5,904"
"93,329",158,18.10%,4734,5.10%,3,1.90%,14.6,"4,087","6,048"
"90,891",162,20.00%,3955,4.40%,2,1.30%,14.2,"4,082","6,114"
"97,024",172,18.30%,3643,3.80%,2,1.30%,14.8,"4,636","6,299"
"86,383",156,27.10%,3289,3.80%,2,1.40%,13.6,"3,751","6,120"
"86,981",157,19.30%,3300,3.80%,3,2.20%,14.1,"3,793","5,942"
"95,231",158,15.50%,3980,4.20%,1,0.70%,15.3,"4,180","5,961"
"83,391",154,18.10%,3328,4.00%,2,1.50%,15.1,"3,557","5,319"
"85,030",151,14.40%,2187,2.60%,2,1.60%,15.4,"3,571","5,394"
"86,186",172,13.70%,3301,3.80%,0,0.00%,15.3,"4,118","5,426"
"92,195",159,14.90%,3165,3.40%,0,0.00%,16.1,"4,072","5,532"
"85,523",169,21.00%,2813,3.30%,1,0.70%,15.2,"4,015","5,455"
"67,452",166,18.40%,640,0.90%,1,1%,13.3,"3,110","5,016"
"74,165",156,17.20%,4634,6.20%,3,3%,14.7,"3,214","4,725"
"70,110",153,13.60%,816,1.20%,1,1%,13.9,"2,980","5,000"
"67,365",156,15.90%,866,1.30%,0,0%,13.2,"2,919","5,021"
"79,020",156,13.70%,1178,1.50%,1,1%,15.6,"3,424","4,999"
"69,876",153,13.20%,866,1.20%,1,1%,15,"2,960","4,605"
"73,500",158,14.90%,1103,1.50%,1,1%,15.2,"3,226","4,770"
"69,126",153,15.00%,1022,1.50%,1,1%,13.9,"2,938","4,913"
"69,552",151,16.10%,1185,1.70%,0,0%,14.2,"2,908","4,817"
"70,076",153,17.40%,1105,1.60%,2,2%,14.8,"2,974","4,663"
"68,719",152,18.10%,1071,1.60%,2,2%,14.1,"2,892","4,797"
"65,888",152,16.80%,1029,1.60%,1,1%,14.1,"2,785","4,597"
